,NAME,COHORT,DESCRIPTION
414,Universe,w2018,Make an awesome website—from your phone.
415,Vathys,w2018,Deep learning processors 10X faster than the TPU
416,Vena Medical,w2018,Making a tiny camera that goes inside veins and arteries to help physicians navigate around the body
417,Veriff,w2018,Stripe for online identity verification
418,Visor,w2018,Visor helps every gamer improve by analyzing their gameplay in real-time
419,Voicery,w2018,Automated voice acting and emotive speech synthesis with deep neural networks.
420,Volley,w2018,Voice-controlled games on Alexa and Google Home
421,Wing It,w2018,Discover weekend getaways near you via Facebook Messenger. Live in the Bay Area.
422,Worklytics,w2018,"Worklytics is productivity analytics for teams, gathered from data in tools like G Suite, Slack and Office 365."
423,YouTeam,w2018,A platform for building your remote dev team. Hire a co-located team of vetted world-class engineers in Europe or Latin America - and get the work started in days. Scale your team and get an on-site PM at no additional cost.
425,Zyper,w2018,Recreating social networks for brands.
426,10 By 10,s2017,10by10 is building a unique marketplace in the recruiting agency industry for recruiters to match engineers with jobs. Recruiting agencies have relationships with proven experienced engineers that you can't find in self-service job boards.
427,70MillionJobs,s2017,The Internet's first for-profit recruitment platform for people with criminal records. We match ignored talent (from our community of one million+) with jobs that companies can't fill.
428,Advano,s2017,"Advano's silicon nanoparticles dramatically increase the energy density lithium-ion batteries 30-40% without sacrificing battery life or increasing the battery cost. Better batteries for ioT, consumer electronics, and EVs."
429,Airthium,s2017,We make large scale (1MW+) thermodynamic energy storage systems.
430,AssemblyAI,s2017,"AssemblyAI builds customized speech-to-text models for customers working with voice data. Our customers use these models to transcribe phone calls, media, and other types of voice data with unparalleled accuracy and speed."
431,Audm,s2017,"Audm is a subscription service providing mini-audiobooks — word-for-word narrations — of longform articles from The New Yorker, The Atlantic, New York Magazine, POLITICO Magazine, WIRED, and many more publications."
432,AutoHub,s2017,We help dealerships appraise vehicle trade-ins more efficiently accurately. AutoHub is the only appraisal tool that incorporates vehicle diagnostic data and cosmetic condition into a streamlined appraisal process.
433,BillionToOne,s2017,Prenatal genetic testing for every expecting mother
434,bxblue,s2017,bxblue is a marketplace for people with guaranteed income in Brazil. This market has 42 million people that borrow over U$40 billion yearly (growing 20% YoY).
435,Caelum Health,s2017,"Caelum Health is replacing drugs with software. We use behavioral medicine, delivered digitally, to treat diseases where drugs don't work. We're starting with IBS, which affects 20% of the US and costs an additional $6,000 per individual each year."
436,Cambridge Cancer Genomics,s2017,CCG empowers clinicians to make personalised treatment strategies for cancer patients. We use blood monitoring to measure the effectiveness of cancer therapies and ML to tailor treatment decisions.
437,Captain Tailor,s2017,Captain Tailor is the Uber for tailoring.
438,CarDash,s2017,Managed marketplace for automotive services.
439,Carrot Fertility,s2017,Customized fertility benefits for modern companies.
440,Cashfree,s2017,Next-Gen digital payments provider for India.
441,CocuSocial,s2017,Marketplace for local activities.
442,Covetly,s2017,Collectibles marketplace
443,CureSkin,s2017,AI dermatologist for India
444,D-ID,s2017,"Protecting faces from being identified by facial recognition technologies. Helping governments, HLS and corporations to comply with regulations and secure their citizens, agents, employees and customers."
445,dahmakan,s2017,dahmakan delivers ready-to-eat meals at below restaurant prices to the fast growing middle class in Asia.
446,Darmiyan,s2017,Early detection of Alzheimer's disease
447,Dharma Labs,s2017,"Dharma is the easiest place to borrow and lend cryptocurrencies — anywhere in the world, instantly and securely."
448,disclosures.io,s2017,"Disclosures.io helps real estate agents manage, share and review property disclosures."
449,Dropleaf,s2017,Subscription service for all you can play indie PC games.
450,Elucd,s2017,Polling through mobile ads to enable governments to make better decisions.
451,Entocycle,s2017,Automated factory to produce insect protein for farm animals.
452,Enzyme,s2017,Software that helps life science companies with FDA approval and compliance. Think TurboTax but for companies that need FDA approval.
453,Escher Reality,s2017,The backend for Augmented Reality.
454,Fastpad,s2017,Hiring Software for India
455,Fat Llama,s2017,"Fat Llama is the first fully insured peer-to-peer rental marketplace. The insurance allows us to focus on high end professional equipment such as DJ equipment, photography gear and more."
456,Feather,s2017,Feather is a furniture subscription service for people who aspire to live light.
457,Flock Safety,s2017,"Flock makes wireless security systems for neighborhoods. While only 13% of non-violent crime is solved today, with our wireless license plate reading cameras, our goal is to take that to 100%."
458,Flowspace,s2017,On-demand warehousing for business.
459,Forever Labs,s2017,"We bank your stem cells to help you live healthier, longer."
460,FriendSpot,s2017,FriendSpot is a group messaging app that helps you coordinate with your friends to meet up in the real world.
461,Gameday,s2017,Play fantasy sports with friends on Facebook Messenger
462,Gamelynx,s2017,Competitive multiplayer mobile games.
463,Gem,s2017,Email automation for recruiters.
464,Goosebump,s2017,Find the best electronic music events in a single message.
465,Gopher,s2017,Get things done without leaving your inbox.
466,Greo,s2017,Greo is a mobile video app for conversations about current events.
467,Guggy,s2017,"Guggy is building the messaging app of the future with real time, NLP-based personalized GIFs"
468,Guilded,s2017,Guilded connects esports teams.
469,Gustav,s2017,"The marketplace for staffing agencies. Companies leverage the network of Gustav’s selected staffing agencies to hire, manage and pay the best talent over one single point of contact with a single requisition."
470,Headstart,s2017,"Headstart uses Machine Learning to help companies decide on who to hire. We save recruiters up to 80% of the time typically spent reviewing applicants, and ensure that companies only hire people that would be a good fit for their culture."
471,Helium Health,s2017,Electronic medical records for Africa's largest hospitals.
472,Helix Nanotechnologies,s2017,Using AI to cure genetic disease.
474,Honeydue,s2017,"The simplest way for couples to manage money, together"
475,HotelFlex,s2017,The first fully flexible hotel booking model that lets you check-in and check-out of your room at anytime you want and pay accordingly.
476,Indivio,s2017,Customize your digital video ads to be more relevant and improve performance quickly with creative testing and insights.
477,"Jerry, Inc.",s2017,Jerry is your personal insurance shopper (car & home). Sign up takes 30 seconds and we shop for you every 6 months to ensure you have the right coverage at the best price.
478,Just Appraised,s2017,Just Appraised automates property valuation for local governments. We use machine learning to verify property transactions and provide more accurate valuations.
479,Kestrel Materials,s2017,"Kestrel Materials makes temperature responsive fabrics for bedding and clothes. Thin when warm and thick when cool, the insulation of the Kestrel fabric changes with temperature to offer unrivaled thermal comfort."
480,Lambda School,s2017,We train people to be software engineers for free in exchange for a share of their future income
481,Leon & George,s2017,Buying and owning indoor potted plants made easy.
482,Loop Support,s2017,We do customer support as a service.
483,LotusPay,s2017,Recurring payments solution for businesses in India.
484,Lyrebird,s2017,Our tech speaks for itself.
485,May Mobility,s2017,"May Mobility deploys fleets of autonomous vehicles for central business districts, enterprise campuses, and residential communities."
486,Meetingbird,s2017,Automated meeting scheduling for teams
487,Modern Fertility,s2017,Modern Fertility is an at-home fertility test for women who aren't ready for kids right now but want to check in on where they stand.
488,Modular Science,s2017,We're improving farming using robots and science.
489,muzmatch,s2017,Where 400M single Muslims meet
490,Mystery Science,s2017,Fixing STEM education by giving elementary teachers a virtual science expert.
491,Mystro,s2017,Mystro is an app that makes rideshare drivers up to 30% more money by automatically accepting the most profitable fares across multiple apps.
492,NextDrop,s2017,NextDrop is the water marketplace for urban India. We connect water buyers with suppliers.
493,Nimble,s2017,A better applicant tracking system for schools
494,Oncobox,s2017,Finding the right cancer drug for each patient.
495,OneLocal,s2017,OneLocal is a CRM for local businesses.
496,Opearlo,s2017,Opearlo produces voice apps for Amazon Alexa and Google Home.
497,Paladin Cyber,s2017,Cyber security insurance for small businesses. Experts in Cyber security/compliance for startup needs as well.
498,PAYFAZZ,s2017,WeChat Pay for Indonesia
499,Peergrade,s2017,Students grade each other's work to save the teacher’s time and to learn more.
500,Piggy,s2017,"App for Indians to make investments in mutual funds, manage their investment portfolios, and save for retirement. (Vanguard for India)"
501,Pilot,s2017,Pilot helps companies hire people abroad.
502,Plasticity,s2017,APIs that help developers create human-like natural language interfaces.
503,PreDxion Bio,s2017,Fast blood test to save the lives of ER patients
504,Prelim,s2017,Prelim is a mobile-first platform that can power in-person and online retail and commercial product originations for banks.
506,PullRequest,s2017,Code review as a service - combining automation with a network of on-demand reviewers
507,Py,s2017,Py is democratizing access to career opportunities in tech
508,Pyka,s2017,"Pilotless, short takeoff and landing electric airplanes for urban transportation. We've deployed our aircraft as autonomous crop sprayers to make a business out of generating the flight hours required for human transportation."
509,Quilt Data,s2017,"Quilt is a Continuous Data Integration and Delivery platform that accelerates the creation, testing, and deployment of trusted datasets."
510,Rabbet,s2017,"Rabbet brings efficiency, accuracy and transparency to construction finance. We use machine learning to parse documents and connect information for reduced administrative burden, verifiable compliance, and faster decision-making for real estate."
511,Relationship Hero,s2017,Instant professional help for your romantic relationships via phone or live chat.
512,Retool,s2017,Build internal tools dramatically faster.
513,Rev Genomics,s2017,Rev is a biotechnology company creating new strains of cannabis.
514,Ribbon Health,s2017,"Ribbon Health provides accurate and comprehensive data on doctors, insurance plans, and costs of care for healthcare enterprises via an API."
515,RideAlong,s2017,"We save lives by giving police and health workers key info to safely interact with those with mental health issues, chemical dependencies, and homelessness. This saves cities millions of dollars by streamlining resources and coordinating care."
516,Roofr,s2017,Marketplace for roofing providing instant satellite roofing estimates for homeowners.
517,Routable,s2017,We're building the simplest way to send and receive business-to-business payments. If you’re thinking “are they a replacement to Bill.com” then you’re spot on!
518,SafeButler,s2017,One-stop for Insurance Quotes
519,Seed,s2017,Mobile banking for small business.
520,Sixty,s2017,Houzz for Websites
521,Skyways,s2017,Creating a new form of air transportation.
522,Slik,s2017,Slik enables the long tail to use email outreach.
523,Solve,s2017,"We save travelers hours by meeting them at their arrival gate, expediting the immigration/customs process, and making sure they're safely off in their vehicle. We operate in over 500 airports worldwide and help with departures and connections too."
524,SourceBeacon,s2017,SourceBeacon is an on-demand procurement concierge for sourcing products from China. We connect your product requests to our network of verified vendors and deliver quotes directly to you.
525,Sourceress,s2017,"Sourceress is an AI recruiting platform that's reinventing how people and jobs find each other. Our goal is to create a world where all 7 billion people do fulfilling work, and work for companies that are solving meaningful problems."
526,Standard Cognition,s2017,AI-powered checkout for retail
527,Sunfolding,s2017,"Sunfolding builds next generation infrastructure for solar farms. By replacing mechanical parts with air, we eliminate installation complexity and maintenance headaches, leading to much lower end-to-end project costs over the lifetime of the farm."
528,Sunu,s2017,Sunu develops devices that augments human capacities to empower the disabled. Our first product is a sonar bracelet enabling the blind to feel the obstacles around them and empowering them to move freely.
529,Surematics,s2017,"We help commercial insurance brokers structure complicated deals. Brokers use our collaboration platform to negotiate terms, share documents and agree contracts. We enforce these agreements using blockchain technology."
530,Templarbit,s2017,Protecting applications from malicious activity
531,Tesseract,s2017,Tesseract builds better thrusters for modern satellites
532,The Artist Union ( F.K.A Polly/Whale),s2017,Polly is a social polling app for Snapchat and Instagram stories.
533,Thematic,s2017,Thematic analyses customer feedback to tell companies how to increase satisfaction and decrease churn.
534,Totemic,s2017,"A hardware device for senior care to allow them to age in place and their loved ones can know they are safe. Using wireless signals and sensor fusion, our system detects activities and falls in a home without the user having to wear anything."
535,Tpaga,s2017,Mobile Wallet for Latin America.
536,TruePill,s2017,B2B Pharmacy-as-a-service
537,Ubiq,s2017,Screen-sharing for enterprise conference rooms
538,UpCodes,s2017,"UpCodes provides tools to help architects and developers design safe, accessible buildings that speed through government approval."
539,Value Voting,s2017,"Platform to defeat political extremism through strategic primary voting. We help advocacy leaders identify new voters, vulnerable incumbents, and source candidates. Then we use targeted data to connect strategic voters with centrist candidates."
540,Vanido,s2017,"Vanido is your personal AI music teacher, starting with singing. Available for iOS."
541,VergeSense,s2017,AI-Powered Building Management
542,VIDA & Co.,s2017,Platform for unique products produced on-demand at mass-scale
543,WATERFX,s2017,"The world's first 100% sustainable water provider (aka alternative water utility). We use solar desalination to generate fresh water from unusable water, anywhere in the world."
544,WheelStreet,s2017,WheelStreet is a Motorbike rental marketplace that connects motorcycle rental vendors in India with riders. The user can book any motorcycle in 30 cites across India through our platform. User can compare bikes on the basis of location and reviews.
545,Wildfire,s2017,"Wildfire keeps you informed of important events happening nearby, & makes it easy to spread the word quickly when something significant happens."
546,X3 Builders,s2017,A tech-enabled commercial General Contractor. We can build your office!
547,Zendar,s2017,We make high definition radar allowing self-driving cars to see in all weather conditions.
548,Zinc Platform,s2017,Insurance Distribution Infrastructure
549,ACLU,w2017,Defender of rights and liberties
550,Aella Credit,w2017,Aella Credit provides Instant loans to Africans who can prove a source of Income either through their employers or individually. We are at the forefront of financial inclusion and empowerment of the underbanked.
551,AlemHealth,w2017,AI Radiologist in a Box - We provide a vertically integrated AI radiology solution for hospitals and radiology centres in emerging market to ensure access to radiology anywhere.
552,Algoriz,w2017,Algoriz is an AI based algorithmic trading platform that enables you to build robust algorithms by simply typing your trading ideas in English.
553,Ambient,w2017,Visual intelligence for the real world.
554,Anasen (was Vize Software),w2017,Anasen is an app that makes data analysis easy and accessible to non-technical business users.
555,AON3D,w2017,Additive Manufacturing with advanced materials
556,Apozy,w2017,"Proxy-less secure web gateway to safeguard against dangerous websites, phishing attacks and malware."
557,Armory,w2017,Continuous Deployment for the Enterprise. We help software teams ship better software faster while improving the day to day life of an engineer through automation and engagement.
558,Arthena,w2017,Quantitative Investment in Art Assets
559,Arylla,w2017,Arylla is taking on the $1 trillion counterfeit industry. Our first product is an invisible ink used to print serial numbers on products that can be read with any smartphone.
560,Beek,w2017,Netflix for Audio
561,Bicycle AI,w2017,Bicycle AI provides customer support as a service. We work on top of existing helpdesks and respond to repetitive and routine support requests. We’ve built a full stack solution that marries human & machine intelligence.
562,Bitrise,w2017,Hosted Continuous Integration and Delivery for mobile apps
563,BloomAPI,w2017,BloomAPI helps doctors share clinical data. Today most healthcare data is still sent by fax and mail. BloomAPI has built technology that can be set up in minutes and share this data in real time.
564,boxouse,w2017,"portable, affordable, beautiful smart homes"
565,Breaker,w2017,A podcast company.
566,Bulk MRO Industrial Supply,w2017,Bulk MRO is the Alibaba for Enterprises in India. We supply over 1.4m products across 5k brands to the largest corporations of India.
567,Bulletin,w2017,WeWork for Retail Space
568,Buypower,w2017,Buypower is the Paypal of Africa starting from Nigeria by making the purchase of electricity extremely easy for Africans. We light up homes at the click of a button.
569,Cambridge Bio-Augmentation Systems,w2017,At CBAS we are standardizing the hardware & software interface between the body and any bionic device. Our aim is to enable high functionality bionics for treating health conditions to be easily and cheaply developed & delivered to patients.
570,Cartcam,w2017,"Cartcam is an app for opinionated, deal-seeking shoppers. It gives people discounts for creating short video reviews."
571,Clear Genetics,w2017,Clear Genetics is scaling delivery of Genomic services
572,Clipboard Health,w2017,We connect nurses with jobs they love and information they can trust.
573,Collectly,w2017,Collectly is a data-driven Patient Revenue Platform that helps medical groups & health systems solve the problem of patient billing and post-treatment pricing transparency.
574,Cowlar,w2017,Fitbit for dairy cows. Farms use cowlar's alerts & recommendations to improve dairy margins by 30%. We charge $3 / month per cow for the service. We are IoT & machine learning experts solving a real problem for dairy farms.
575,Credy,w2017,Credy is a full stack lending company for India. We are a mobile credit line with customisation for specific end use
576,Delee,w2017,A medical device company who created a companion diagnostic test for cancer therapy management.
577,Dost Education,w2017,Getting kids ready for school in India.
578,Faire,w2017,"Faire is a marketplace empowering retailers to discover and try products risk-free, while helping makers reach retailers across the country. We create simple tech tools for retailers so that they can focus on building and running their business."
579,Fibo,w2017,"Scheduling, invoicing and financial insights for field teams"
580,Fiix,w2017,"Fiix sends expert auto mechanics to your home, so you don’t have to waste time & money at the repair shop. It’s essentially an Uber for auto repair."
581,Firsthand,w2017,"Firsthand makes software-enabled, self-serve retail kiosks that carry high margin products. They average $120/kiosk in daily net revenue and cost $300/kiosk to make. Payback period is three days."
582,FloydHub,w2017,Floyd is Heroku for Machine Learning and Deep Learning. Run and deploy your project to the cloud with zero-setup.
583,Hivy,w2017,"An end-to-end platform for office management. We enable office management teams to gather employees' requests, collaborate on projects and manage their vendors."
584,Hogaru,w2017,Hogaru is a tech-enabled facility management platform for SMBs and homes in Latin America.
585,Humi,w2017,"Humi is an all-in-one people platform for Canadian companies. Payroll, HR, and Benefits."
586,Indee Labs,w2017,Indee develops hardware for gene delivery. We are developing our uniquely scalable technology for short turnaround CAR-T development and manufacturing.
587,InnaMed,w2017,We're creating an at-home home blood testing device with telemedicine capabilities to improve post acute care.
588,KidPass,w2017,KidPass is the leading marketplace for parents to discover and book all types of kids activities and services.
589,Kudi,w2017,Making financial services accessible and affordable for all Africans.
590,Ledger Investing,w2017,Marketplace for insurance securitization.
591,LitHit,w2017,Smart Target for Shooting Sports
592,"Lively, Inc.",w2017,A modern health savings account for businesses and individuals. A 401(k) for healthcare.
593,lvl5,w2017,HD maps for self-driving cars.
594,Marketfox,w2017,Marketing automation platform optimized for mobile and web.
595,MDacne,w2017,An app that analyzes your selfie and delivers custom acne treatment.
596,Mednet,w2017,Network of doctors helping each other treat cancer
597,Millibatt,w2017,Millibatt makes world's smallest and most customizable batteries. Millibatt's new small battery technology delivers more than 2x higher energy density than existing small batteries.
598,Move,w2017,Supermarket of The Future.
599,NanoNets,w2017,Easy to use Machine Learning API. Needs 10 times less data.
600,Neema,w2017,"Neema is an app for unbanked workers, which provides a checking account, a debit-card and instant remittance to 90 countries, all for $3 a month."
601,Niles,w2017,Knowledge Assistant for Work.
602,No Lean Season,w2017,A bus ticket out of poverty
603,Origin,w2017,Keurig for healthy smoothies.
604,Paragon One,w2017,Paragon One is the platform that prepares students for the global economy by connecting them with skill training and work experiences at growing companies.
605,Pearl,w2017,The future of office coffee. Keurig convenience meets cafe quality.
606,Peer5,w2017,P2P delivery network that enables high quality video streaming at massive scale.
607,Penny,w2017,Penny makes keeping track of your finances as easy as having a conversation.
608,Pit.AI,w2017,"Former Goldman Sachs and J.P. Morgan Quant, PhD in Machine Learning @ Oxford, paid for by Google, building AI Powered Hedge Fund, committed to charging 0% Management Fees. Return: 40%, Sharpe Ratio: 3.2."
609,Playment,w2017,Mechanical Turk for enterprises.
610,Pulse,w2017,Electronic Medical Records for India
611,RankScience,w2017,SEO Split Testing & Automation
612,RelianceHMO,w2017,"RelianceHMO uses mobile phones, telemedicine and data science to make health insurance in Africa cheaper and easier to access"
613,Request Network,w2017,Request Network is a decentralized network for payment requests. Sort of Paypal 2.0
614,REZI,w2017,Rent Better
615,Riley,w2017,MailChimp for SMS
616,Rippling,w2017,Rippling makes it unbelievably easy to manage your company's HR and IT — in one system.
617,Sandbox,w2017,Sandbox is a universal adapter that enables banks to quickly connect new fintech software with existing systems.
618,Scaphold.io,w2017,The Universal API
619,ScopeAI,w2017,Automatically extract valuable insights from customer service conversations using AI
620,Scribe,w2017,"Scribe is an AI based Sales Development Representative that you can hire in 10 minutes. Scribe automates an SDR's job, from finding leads all the way up till scheduling calls over email."
621,ServX,w2017,"ServX is India's premier mobile app for auto repairs. We connect drivers with vetted local garages, with high quality service and spare parts."
622,Shipamax,w2017,Shipamax is on a mission to fix the ship booking experience.
623,Simple Habit,w2017,"Simple Habit is the Netflix of meditation. The company has the world's largest curated library of 5 minute meditations, designed for different situations and moods. Try three months free @ https://www.simplehabit.com/redeem/YCFOUNDERS"
624,Sinovia Technologies,w2017,Flexible printed OLED displays.
625,Smart Alto,w2017,Messaging robot that helps real estate agents respond to leads.
626,Snappr,w2017,"Snappr lets you instantly book a pre-vetted photographer at a fixed price, only hours ahead of the shoot time, from $59."
627,Solugen,w2017,We make ultra-pure hydrogen peroxide from plants.
628,Soomgo,w2017,"Soomgo is Thumbtack for Korea/Asia. We are a marketplace that helps local service providers such as movers, piano teachers, and wedding planners find new customers."
629,Source,w2017,"Source.com is a B2B marketplace for purchasing and selling excess inventory, wholesale, and liquidation goods."
630,Speak,w2017,An AI English tutor that is the best way to become conversationally fluent in English.
631,Supr Daily,w2017,Daily milk delivery service in India
632,Sycamore,w2017,Marketplace for companies to add a delivery driver in 5 minutes.
633,Symple,w2017,"Last mile logistics for delivery & service teams. We bring real-time collaboration to distributed job workflows, across scheduling, routing, live tracking, work orders, invoices and payments."
634,Terark,w2017,"Fastest Storage Engine with the Best Compression, we enables direct search on highly compressed data, making databases 200X faster random read with 10X smaller storage,resulting in larger scalability with lower cost for big data/cloud applications"
635,Tetra,w2017,AI notetaker for phone calls
636,The Centre for Effective Altruism,w2017,We're your non-profit portfolio managers. We make giving to high-impact charities as easy as investing with Vanguard. We're building a community of donors who put outcomes first and give with the head as well as the heart.
637,Tizeti,w2017,ISP for Africa
638,Token Transit,w2017,A mobile app to pay for public transportation. We sell a mobile ticketing platform for transit agencies.
639,Tolemi,w2017,Tolemi is Palantir for city governments.
640,Trade,w2017,We're building Africa's Commodity Exchange.
641,Tress,w2017,"Tress is a social community for black women's hairstyles. We are building a social community for black women to discover hairstyle inspiration, find stylists, buy products and discuss their hair needs with an engaged community."
642,Upcall,w2017,"Upcall provides outbound call professionals on-demand, through its communication platform & API, helping customers fuel their sales pipeline and engage with existing users in minutes."
643,UpKeep,w2017,"We make beautiful, easy to use mobile software for maintenance teams"
644,"Veryfi, Inc.",w2017,"A new and better way to automate construction bookkeeping. Veryfi's all-in-one jobsite intelligence solution automates time & material tracking, eliminates data entry, and connects the field to the office."
645,Vinsight,w2017,We are building the world's real-time source of commodities supply through yield forecasts on crops.
646,VoiceOps,w2017,VoiceOps is a platform for analyzing enterprise voice. Our mission is to provide easy access to customer conversations. Our product analyzes sales and support conversations and generates insights on phrases that maximize success.
647,Volans-i,w2017,Autonomous Aerial Delivery Solutions.
648,Volt Health,w2017,"Volt Health is developing medical devices that deliver electrical stimulation to the muscles of the body to treat disease, starting with urinary incontinence."
649,Voodoo Manufacturing,w2017,"AWS for manufacturing. Our robotic 3D printing factory can make 1-10k plastic parts in less than 2 weeks, at injection molding prices."
650,Wavy,w2017,Experience music and art in augmented reality
651,WaystoCap,w2017,We are Alibaba of Africa. We are building a marketplace for African businesses to buy and sell products giving SMEs access to commerce.
652,Wifi Dabba,w2017,Wireless ISP in India.
653,Wright Electric,w2017,Boeing for electric planes
654,XIX.ai,w2017,"Next generation Image Intelligence platform for Defence, Intelligence and enterprise sectors."
655,Zestful,w2017,"The easiest way for companies to give individualized perks to their employees. Give perks like Spotify, Netflix, Blue Apron, Corepower Yoga, StubHub and hundreds more - all without a painful reimbursement process."
656,Abundance Labs,s2016,Abundance Labs incubates and builds alternative currency marketplace businesses.
657,Airfordable,s2016,Buy your flights for a deposit upfront and pay off the rest in installments before your departure date
658,Airo Health,s2016,Airo is an AI to passively track and manage your mental health.
659,AmberBox,s2016,Detect Gunshots | Inform Law Enforcement | Empower First Responders
660,ApolloShield,s2016,ApolloShield is a system that detects unwanted drones and drives them away.
661,Aptonomy,s2016,"Aptonomy has developed intelligent security drones that serve as your flying security guards. They tirelessly patrol outside your property around the clock, and actively deter crime by establishing physical presence at the site."
662,Athelas,s2016,"Rapid blood diagnostics through deep learning. We're primarily targeted at bringing new, powerful tools to oncology patients through modern Machine Learning. We are FDA cleared and rapidly scaling our customer base."
663,BulldozAIR,s2016,Project management platform for construction & maintenance teams.
664,Burrow,s2016,"Burrow is an innovative new furniture company reinventing the way people furnish their home. We're changing how people shop for, ship, live with, and move their furniture."
665,CareRev,s2016,A Marketplace for Healthcare professionals to find shifts.
666,CoinBundle,s2016,The easiest way for new investors to build crypto portfolios.
667,CoinTent,s2016,Recover revenue lost to ad blockers
668,Coub,s2016,"Coub is YouTube for video loops. You can take any video from YouTube, Facebook or upload your own. Trim it to the best part, mix it with other videos or add a soundtrack"
669,CrowdAI,s2016,"Infrstructure and other feature detection from satellite imagery. We use deep learning computer vision algorithms to detect infrastructure, such as roads, buildings, and other features, from satellite imagery."
670,DevColor,s2016,We give Black software engineers the support they need to enter and advance in the tech industry.
671,Drivezy,s2016,"India's largest vehicle sharing platform, turning people's vehicles into earning members of the family."
672,Elemeno Health,s2016,"The first personal assistant for frontline healthcare teams. We get nurses, docs, and staff on the same page. Through just-in-time microlearning, we put best practices in their hands, and drive quality and consistency at the point of care."
673,Emote,s2016,Emote is a K-12 app that helps schools catch student behavior problems before they start.
674,EventGeek,s2016,"EventGeek in event intelligence. We help companies drive higher event ROI through competitive intelligence, team productivity and sales enablement."
675,Expo,s2016,"Expo brings together the best of web (development speed, fast iteration cycles, easy deploys, and automatic cross-platform support) and the performance and user experience of native apps. Let's talk if you're planning to build a mobile app."
676,ExVivo Labs,s2016,"ExVivo Labs is developing a non-invasive skin patch for allergy testing, making the process safe, simple and certain."
677,Fabric,s2016,"echoworks is Arun Vijayvergiya and Nikolay Valtchanov, two former Facebook engineers. We make Fabric, an iOS app that automatically and privately catalogs your real-world experiences and interactions."
678,Farmstead,s2016,An AI-powered digital grocer that delivers in under 60 mins.
679,Flutterwave,s2016,We help businesses to make and accept payments from anywhere in Africa
680,GoGoGrandparent,s2016,"GoGoGrandparent is an automated concierge for seniors and their families that allows them to order rides, meals and groceries from a flip phone or landline."
681,GTRACK Technologies,s2016,Nanoparticle tracers for reservoir characterization during hydraulic fracturing.
682,Haywheel,s2016,Haywheel is an artisan food marketplace for restaurants and specialty food stores.
683,Hellobill,s2016,"Hellobill aggregates all your business bills, automatically, every month."
684,HiOperator,s2016,"Customer support as a service. We augment your existing team. Plans are pay-as-you-go, scaling up or down as needed based on incoming volume. We are US based, charge on a per *solved* case basis, not per reply, and you only need to train us once."
685,Hush,s2016,Hush is the top social commerce app in the United States.
686,Innov8,s2016,"We provide co-working offices to startups, freelancers and SMEs in India."
687,Instrumentl,s2016,Instrumentl simplifies the grants process for researchers and nonprofits.
688,Iris Automation,s2016,Collision avoidance system for industrial drones. Our mission is to enable the $23bn industrial drone revolution.
689,Joy,s2016,Joy is a tool that helps couples plan their wedding from engagement to honeymoon and everything in between.
690,Jumpcut,s2016,Online courses that feel like movies.
691,Legalist,s2016,Legalist uses algorithms to fund lawsuits.
692,Lendsnap,s2016,The Digital Mortgage Company. Lendsnap automatically gathers loan qualifying documents and data to take the pain out of lending. Lendsnap is the only account aggregator enhancing portfolio liquidity with original source documents.
693,Livement,s2016,Livement is a mobile app that sells tickets and concessions for sports stadiums
694,LocoAI,s2016,"Small, low-cost LIDAR"
695,Lollicam,s2016,"The easiest and funniest video creation app to create beautiful moments with your friends and family. It will connect all the contents from movie, animation, cartoon, game and any you love with your everyday life."
696,Looklive,s2016,Looklive is a community and marketplace for fashion. Users browse the style of celebrities and shop their looks.
697,Luminostics,s2016,Smartphone adapter for DIY disease testing
698,Meesho,s2016,"Meesho is the simplest way for Indie sellers in India to setup, manage and grow their business on Facebook and WhatsApp."
699,MessageBird,s2016,"MessageBird is an API for sending Text, Voice & Chat messages. We offer the most advanced messaging API, packed with features and customizable parameters for high-volume and demanding message senders."
700,Metapacket,s2016,Metapacket is the first selective web gateway that stops malware by blocking non-human communication in corporate networks.
701,Mindori,s2016,Mindori builds white-label voice search for e-commerce apps.
702,Miso,s2016,Instantly book quality home cleanings in South Korea.
703,Mosaix,s2016,Mosaix is building the language AI platform for emerging markets.
704,Multiply Labs,s2016,"At Multiply Labs, we use 3D printers to manufacture polypills - customized pills that contain multiple medications and release them at the right time."
705,NeoWize,s2016,NeoWize created a new type of machine learning algorithm and uses it to improve personalization algorithms in e-commerce sites.
706,New Incentives,s2016,Cash transfers that save lives.
707,Nova Credit,s2016,API for global consumer finance information
708,NuCypher,s2016,The privacy layer of the decentralized web.
709,Oh My Green,s2016,"We make employees healthy, happy, productive, and retain better through snacks, beverages, catering, and more."
710,OMG Digital,s2016,Content discovery platform for Africa
711,OneChronos,s2016,"A financial exchange that reduces costs, increases trading volume, and prevents information leakage via a revolutionary approach to matching buyers with sellers."
713,Opsolutely,s2016,Automated deployments for software teams.
714,Pando,s2016,Market network for home services. Hire great contractors recommended by friends and neighbors.
715,PatientBank,s2016,Get medical records online—from any doctor or hospital.
716,People.ai,s2016,"People.ai automates manual data entry, increases sales productivity, and provides actionable intelligence across all your management tools."
717,Polymail,s2016,Email productivity platform for business.
718,Prime Lightworks,s2016,"Prime Lightworks Inc. manufactures electric propulsion systems for space satellites. We engineer new possibilities in space while drastically reducing cost and waste, by replacing propellant systems with radio frequency resonant cavity thrusters."
719,Proxy,s2016,Reinventing identity
