Organization Name,Organization Name URL,Categories,Full Description
Airsorted,https://www.crunchbase.com/organization/airsorted,"Property Management, Real Estate, Rental","Airsorted is a short-let host management service that increases yields and handles everything from listing creation and pricing optimisation to the cleaning, laundry and keys. Their mission is to build a global platform that makes it easy to share your home - hassle-free hosting for everyone. Airsorted was founded in 2015 and is based in London, U.K."
Arista Networks,https://www.crunchbase.com/organization/arista-networks,"Cloud Computing, Data Center Automation, Hardware, Information Technology, Software","Arista Networks was founded to deliver software driven cloud networking solutions for large data center and high-performance computing environments. With more than three million cloud networking ports being deployed worldwide, Arista delivers a portfolio of 1/10/40 and 100 GbE products that redefine network architectures, bring extensibility to networking, and dramatically change the price/performance of data center networks."
Arrive,https://www.crunchbase.com/organization/parkwhiz,"E-Commerce, Geospatial, Location Based Services, Parking, Software","Arrive is a powers the last mile of connected and autonomous mobility.  The company delivers scalable, friction-free parking experiences through apps, voice and in-dash. Its fully integrated platform makes it easy for companies and brands to offer parking as a solution for drivers, fleets and connected vehicles.  Millions of people across North America have access to Arrive-powered parking through the company’s distribution partners, including Amazon, Ford, Hyundai, Honda, TomTom, Ticketmaster/Live Nation, Groupon, Madison Square Garden and many others, and its consumer-facing brands, ParkWhiz and BestParking."
Alfresco,https://www.crunchbase.com/organization/alfresco,"Collaboration, Document Management, Enterprise, Enterprise Software",Alfresco is the leading open source alternative for enterprise content management. It couples the innovation of open source with the stability of a true enterprise-class platform. The open source model allows Alfresco to use open source technologies and contributions from the open source community to get higher quality software produced more quickly at much lower cost.
Aquabyte,https://www.crunchbase.com/organization/aquabyte,"Agriculture, Aquaculture, Information Services, Information Technology","Aquabyte builds machine learning products for aquaculture (fish) farms. Aquabyte was founded in 2017 to bring machine learning and computer vision technologies to the aquaculture industry. Our diverse team of machine learning experts, entrepreneurs, and aquaculture biologists are hyperfocused on delivering solutions with a real-world impact. Real-time sea lice counting, biomass monitoring, and appetite detection are just a few of the many applications that will eventually be possible with the Aquabyte system. We have offices in San Francisco and Norway. Aquabyte surpasses modern farm monitoring products with our machine learning platform and smart camera system. Our solution offers easy installation, continuous monitoring, and multiple applications. Aquaculture is one of the fastest growing sectors of food production on the planet, offering a meaningful solution to global food deficits. Aquabyte’s mission is to use machine learning to make fish farms more efficient, sustainable, and profitable."
Aptible,https://www.crunchbase.com/organization/aptible,"Enterprise Software, Health Care, PaaS, Privacy, Security","Aptible is a secure, private cloud deployment platform built to automate HIPAA compliance."
Auxmoney,https://www.crunchbase.com/organization/auxmoney,"Finance, Marketplace, Peer to Peer","Auxmoney, a Germany-based financial services company that provides online peer-to-peer loan marketplace. Auxmoney is a private-held company founded in 2007."
Alma Health,https://www.crunchbase.com/organization/alma-health,"Fitness, Health Care, Therapeutics",Alma is pioneering a new practice model for therapists to elevate the therapy experience and simplify access to care. Alma builds co-practicing communities powered by shared technology and services.
Axonify,https://www.crunchbase.com/organization/axonify,"Human Resources, Knowledge Management, Software","Axonify is changing the way organizations think about and deliver corporate learning. The Axonify solution makes learning personalized, engaging, fun and rewarding for employees while dramatically improving critical business results for employers.  Using principles of interval reinforcement and incorporating the realities of how emerging workforces learn in today’s environment, Axonify enables its customers to make training stick and improve employee performance."
Arcview Group,https://www.crunchbase.com/organization/arcview-group,Finance,"The ArcView Group works in the burgeoning legal cannabis industry by establishing connections between investors and entrepreneurs in an effort to meet the needs of cannabis cultivators, dispensaries, and customers. With industry experience,  The ArcView Group is working to help usher in the next generation of cannabis-related businesses with the creation of The ArcView Angel Network and the MyDispensary Mobile App."
Apeel Sciences,https://www.crunchbase.com/organization/apeel-sciences,"Advanced Materials, Agriculture, Biotechnology","Apeel Sciences is a California-based company that’s fighting the $2.6 trillion-dollar global food waste crisis by utilizing advances in materials science to prevent waste in the first place—a sustainable approach to the world’s growing and urgent food demands. The company's plant-derived solution for fresh food providers doubles the lifespan of harvested fruits and vegetables—even without refrigeration. Apeel's private investors and philanthropic partners include Andreessen Horowitz, Viking Global Investors, Upfront Ventures, S2G Ventures, Powerplant Ventures, DBL Partners, The Bill & Melinda Gates Foundation, and The Rockefeller Foundation."
Aerospike,https://www.crunchbase.com/organization/aerospike,"Analytics, Auctions, Big Data, Database, Real Time, Transaction Processing","Aerospike delivers a next-generation Hybrid Memory Database that powers some of the world’s leading Web-scale real-time big data driven platforms in digital advertising and omni-channel marketing, including AppNexus, BlueKai, Chango, The Trade Desk and [x +1]. The first SSD and flash-optimized, in-memory, operational NoSQL database with ACID properties, Aerospike is used by revenue-critical applications to personalize the user experience by predictably processing billions of user profiles and terabytes of current contextual data with sub-millisecond response times. Developers in search, mobile, video, gaming, social, ecommerce, retail, banking, telecom and more are choosing Aerospike to gain 10x better price/performance across multiple data centers with zero-touch, zero-downtime operations."
Ava,https://www.crunchbase.com/organization/ava-3,"Fertility, Health Care, Medical, Medical Device, Personal Health","Ava makes it easy to gain a profound and accurate understanding of your cycle and health—empowering you to make informed choices for your life. Because we believe every woman deserves greater control over her wellbeing, and the tools to maximize her physical and emotional potential. "
AM Pharma,https://www.crunchbase.com/organization/am-pharma,"Biotechnology, Medical, Pharmaceutical","AM-Pharma B.V., a biopharmaceutical company, engages in the development and commercialization of therapeutics for human use in the Netherlands. It focuses in the pre-clinical and clinical development of novel therapeutics to treat inflammatory and infectious diseases. The company develops products based on endogenous proteins and protein derived peptides, as well as molecules that naturally occur in the human body. Its products include alkaline phosphatase for treatment of acute kidney injury and ulcerative colitis; and immune response amplifying peptide hLF1-11 for the treatment of drug resistant hospital acquired infections. The company was founded in 2000 and is headquartered in Bunnik, the Netherlands."
Appetize,https://www.crunchbase.com/organization/appetize,"Apps, Events, Information Technology, Mobile, Software","Appetize is the most powerful payment platform for live events and sports. Deployed in over 700 venues worldwide with clients like Madison Square Garden and Lincoln Financial Field to Bonnaroo and Governors Ball, Appetize has the most robust and reliable mobile Point of Sale solution on the markets."
Aerobotics,https://www.crunchbase.com/organization/aerobotics,"AgTech, Analytics, Drones, Farming, Machine Learning, Software","Aerobotics is a data analytics company, making use of aerial imagery and machine learning algorithms focused on precision agriculture."
ayfie Group,https://www.crunchbase.com/organization/ayfie,"Analytics, Artificial Intelligence, Big Data, Knowledge Management, Machine Learning, Natural Language Processing, Prediction Markets, Search Engine, Semantic Search, Text Analytics","ayfie provides market-leading search and text analytics solutions for legal, finance, healthcare, media and GDPR compliance that are based on more than 30 years of research and experience in linguistics, computational linguistics and computer science. Using this knowledge, ayfie combines best-in-class search technology with an innovative text analytics engine — powered by AI and machine learning — to deliver efficiency and better insights to businesses in all industries worldwide. The company is headquartered in Oslo, Norway with offices in Denver, New York, Munich, London and Stockholm. ayfie’s suite of products includes: ayfie Inspector Connects conversation threads and analyzes content beyond mere words. It understands concepts. ayfie Locator Immediately indexes, normalizes, and structures over 450 structured and unstructured file types."
Ascentage Pharma,https://www.crunchbase.com/organization/ascentage-pharma,"Biopharma, Medical, Pharmaceutical","Ascentage Pharma is a globally-focused, clinical-stage biopharmaceutical company developing novel small molecule therapies for cancers, hepatitis B and age-related diseases. Leveraging their expertise in structure-based drug design and their innovative drug discovery engine, we have developed a robust pipeline of seven drug candidates that disrupt complex and difficult-to-target protein-protein interactions (PPIs), and next-generation tyrosine kinase inhibitors (TKIs). Their PPI drug candidates are designed to treat cancer and other diseases by restoring the normal function of key apoptotic pathways, including the Bcl-2/Bcl-xL, MDM2-p53 and IAP pathways, which play a pivotal role in regulating apoptosis. They are also developing next-generation TKIs to treat diseases for high unmet medical needs. Their compounds are being developed for use as a single agent or in combination with other therapies."
Anagog,https://www.crunchbase.com/organization/anagog,"App Marketing, Artificial Intelligence, Banking, Business Intelligence, FinTech, Internet of Things, Location Based Services, Personalization, Retail, Retail Technology","Anagog assists companies to better know their customers while providing them with unmatched privacy control. JedAI by Anagog can help companies provide highly personalized, contextual services and experiences to their customers by interpreting smartphone sensor data into insights, i.e., consumer behavior, lifestyle, journey and prediction of what they are likely to do next — all in real-time. JedAI Edge-AI develops these insights in the company’s’ app, on the phone itself, so no private data leaves the phone without the customer’s permission.  Simply put, Anagog can help companies deliver greater and smarter consumer data and insights to craft the most tailored consumer experience possible. Anagog's JedAI SDK is downloaded by more than 25 million and integrated into more than 100 mobile apps globally. Anagog is already working with several Fortune 100 companies and global leaders in the Retail, Banking and Automotive and Mobility, to further their consumer understanding and personalization while providing unparalleled customer privacy experience."
Attest,https://www.crunchbase.com/organization/attest,"Analytics, Artificial Intelligence, Big Data, Brand Marketing, Content Marketing, Innovation Management, Marketing Automation","Great companies put consumers and data at the heart of every decision. Attest makes that simple and open for anyone at every business, continuously, at global scale. Attest powers your business growth by providing reliable consumer data in the moments you need it most. Our powerful SaaS platform taps into audiences of over 100 million consumers across 80 markets, ready to answer any questions you have, with interactive results that surface actionable insights in a heartbeat. With unlimited access to your exclusive Consumer Growth Platform, you’ll have the clarity and confidence to make strategic decisions that drive tangible results."
AgilOne,https://www.crunchbase.com/organization/agilone,"Advertising, Analytics, Big Data, Business Intelligence, Marketing, SaaS","AgilOne is a cloud-based predictive marketing platform. The AgilOne platform combines advanced database management, predictive customer analytics, and integrated campaign management. This combined functionality enables marketers to fully understand each customer and to send the most effective marketing messages. AgilOne creates more enjoyable customer experiences and higher revenues by offering more accurate customer profiles and better predictive targeting. The platform optimizes customer engagement, increases repeat purchases and creates more profitable relationships by growing customer lifetime value across channels."
Ascend.io,https://www.crunchbase.com/organization/ascend-io,"Big Data, Software","Ascend provides the world’s first Autonomous Dataflow Service, enabling data engineers to build, scale, and operate continuously optimized, Apache Spark-based pipelines with 85% less code. Running natively in Microsoft Azure, Amazon Web Services, and Google Cloud Platform, Ascend combines declarative configurations and automation to manage the underlying cloud infrastructure, optimize pipelines, and eliminate maintenance across the entire data lifecycle. Ascend is backed by the world’s leading venture capital firms, including Accel, Sequoia Capital, Lightspeed Venture Partners, and 8VC; and supported by notable advisors, such as Kevin Scott, CTO of Microsoft; Maynard Webb, Board Member Salesforce, Visa; Scott McNealy, former Sun Microsystems CEO; Luanne Dauber, former CMO at Confluent and VP Marketing at Pure Storage; and Deep Nishar, Senior Managing Partner of Softbank Vision Fund. For more information about Ascend, visit www.ascend.io."
Advance.ai,https://www.crunchbase.com/organization/advance-ai,"Artificial Intelligence, Big Data, Internet","Combining the best domain knowledge in big data, artificial intelligence and credit scoring, ADVANCE.AI brings the next generation data centric platforms to transform traditional and emerging industries across Asia Pacific. Backed by top-tier VC firms from Silicon Valley and Asia, they have a regional footprint in the Asia Pacific. Their team members are from world leading institutions and enterprises that bring together global perspectives and local knowhow."
Amyris Biotechnologies,https://www.crunchbase.com/organization/amyris-biotechnologies,"Chemical, CleanTech, Renewable Energy","Amyris Biotechnologies creates renewable products, focusing on fuels and chemicals.  The company plans to enter the market by 2011.  The company is developing renewable fuels that reduce lifecycle (GHG) emissions 80%.  The fuel source is special in that it is compatible with current gasoline engines, and can be distributed with existing petroleum infrastructure. Amyris is also developing semi-synthetic artemisinin, a key ingredient in first-line malaria treatments, in hopes of creating a complementary source of non-seasonal, high-quality, affordable artemisinin. This source would supplement the current botanical supply, offering millions of people infected with malaria the chance to gain consistent and reliable access to lower-cost, life-saving Artemisinin-based Combination Therapies (ACTs). Lastly, Amyris produces environmentally friendly chemicals for a variety of consumer products and industrial applications currently dependent on petrochemical components."
Axiom,https://www.crunchbase.com/organization/axiom,"Business Development, Law Enforcement, Legal, Marketplace, Professional Services","Axiom provides tech-enabled legal, contracts, and compliance solutions for large enterprises. Its solutions combine legal experience, technology, and data analytics to deliver work in a way that dramatically reduces risk, cost, and cycle-time. The firm comprises 2,000-plus lawyers, professionals, process engineers, and technologists who serve over half the Fortune 100 across 15 regions and three centers of excellence globally."
Adthena,https://www.crunchbase.com/organization/traffic-smart-adthena,"Business Intelligence, Internet, Search Engine","Adthena is a competitive intelligence solution for search marketers. Adthena's patented Search Competitive Intelligence technology enables enterprise search marketers to understand their paid search landscape as a whole and acquire customers using insights about their competitors. Adthena’s patented ""Whole Market View"" approach provides more actionable data and insights, whilst their team of competitive intelligence experts support clients in their core areas of: Customer Acquisition, Cost Reduction, Brand Protection, Decision Support Intelligence. Adthena’s mission is to revolutionize search marketing through “Unrivaled Competitive Clarity”. It serves hundreds of the world’s largest advertisers through its patented “Whole Market View” of organic and paid search. Leveraging machine learning, the platform indexes information hourly, processing over 10TB of new data, indexing 500 million adverts and 200 million keywords in 15 different languages each day. The segmented data is presented in an intuitive format, helping digital marketers to understand their landscape and acquire more customers."
Allset,https://www.crunchbase.com/organization/allset,"Apps, B2B, Consumer Applications, Food and Beverage, Mobile, Mobile Apps, Restaurants, Service Industry","Allset is a San Francisco-based company of technology experts and forward thinkers with a focus on improving the restaurant dining experience. Everything we do, we’re committed to helping people live enjoyable and productive lives. Allset has become the favorite way to dine out for thousands of busy professionals across the United States. Allset benefits diners, restaurants, and local companies. Diners can skip the wait at restaurants and focus on amazing dining experiences. Restaurants can run their businesses more efficiently and treat their guests to an exceptional service. Companies can provide their employees with quick, company-paid meals at great local restaurants. Today, we’re available in San Francisco and the Bay Area, New York City, Chicago, Boston, Austin, Seattle, Los Angeles, San Jose, Houston, and Las Vegas. Find out what Forbes, Huffington Post, Eater, Business Insider, Entrepreneur, The Wall Street Journal, and more have been writing about Allset.  www.allsetnow.com"
Airbase,https://www.crunchbase.com/organization/airbase,Financial Services,"Airbase was born out of the idea that spend management shouldn't have to be difficult. Today, spend is managed with multiple applications across approvals, payments, and accounting. They believe finance teams deserve better. They're building a solution that lets them invest less time on the tedious, manual tasks of tracking every dollar spent and more on being strategic partners to their businesses."
Acast,https://www.crunchbase.com/organization/acast,"Audio, Internet Radio, Podcast","Acast is a data-driven marketplace for the next generation of voice technology and podcasting. Since 2014, Acast has been the engine powering audio for makers all over the world. At its core, Acast connects audio makers with the financial support they need to create amazing content while also delivering the audience they want. Acast works with podcasts globally including My Dad Wrote a Porno, The Adam Buxton Podcast, Värvet, Ask A Clean Person and The Football Ramble as well as those of publishers such as the Times, the Economist, Guardian, VICE and Vogue. As a global business, Acast has offices around the world from Stockholm to Sydney and a team of 100 talented audio lovers working diligently to create a sustainable audio and voice ecosystem to ensure that the audio industry continues to grow and flourish."
Apptimize,https://www.crunchbase.com/organization/apptimize,"A/B Testing, Analytics, Enterprise Software, Mobile","Apptimize lets mobile teams increase revenue and engagement by iterating faster and smarter. Our mission is to enable you to optimize, deploy, and manage the features and UX of your native iOS and Android apps in real-time through instant updates, A/B testing, feature flags, and analytics. We work with top apps like the Wall Street Journal, Western Union, Flipagram, HotelTonight, Nokia, and Trulia."
Anju Software,https://www.crunchbase.com/organization/anju-software,"Customer Service, Operating Systems, Software",Anju Software is a life sciences enterprise software platform focused on delivering exceptional business application solutions with outstanding customer support. Anju was founded by a group of operating and investment professionals with deep software domain expertise and a proven track record of building software platforms through strategic acquisitions and organic growth.
Aleph Farms,https://www.crunchbase.com/organization/aleph-farms,"Food and Beverage, Food Processing",Aleph Farms is shaping the future of food by producing cell-grown meat that resembles free range meat.
AutoGravity,https://www.crunchbase.com/organization/autogravity,"Automotive, Finance, Mobile","The AutoGravity platform connects car buyers with lenders and dealers, providing a fast, convenient and transparent car-buying experience for everyone. Shoppers select their preferred new or used vehicles from local dealer inventory. Then, they receive tailored loan or lease offers from AutoGravity partner banks and financial services companies.   The AutoGravity app is available on iOS, Android and on the web.   For more information, please visit www.AutoGravity.com."
Alibaba Pictures,https://www.crunchbase.com/organization/chinavision,"Broadcasting, Film Production, Media and Entertainment, News, Social Media, Telecommunications","Alibaba Pictures Group Limited (previously ChinaVision Media Group Limited (01060.HK))  is an integrated cultural corporation with business focus on TV, film production, print media, and mobile new media. By adhering to Chinese cultural tradition, Alibaba Pictures, backed with powerful capital strength, advanced operation model and sound group management, will strive to be an internationally influential media group. Alibaba Pictures Group Limited strives to be the first Hong Kong listed company of successfully operating tri-network integration of telecommunications networks, cable TV networks and the internet. Alibaba Pictures Group Limited was founded in 1993 and is based in Admiralty, Hong Kong."
Avvo,https://www.crunchbase.com/organization/avvo,"Business Development, Consulting, Legal, Legal Tech, Marketplace, Q&A","Avvo is an online legal marketplace connecting consumers and lawyers. The lawyer directory provides Avvo-rated profiles, client reviews, and peer endorsements for 97% of all lawyers in the U.S., so consumers can find the lawyer who’s right for the needs. Avvo also helps lawyers grow businesses with marketing tools and services including Avvo Ignite, a cloud-based marketing platform designed specifically for attorneys. Avvo was launched in 2007 and is headquartered in Seattle, WA."
Aibee,https://www.crunchbase.com/organization/alibee,"Artificial Intelligence, Information Technology, Robotics","Founded by Dr. Yuanqing LIN in November 2017, Aibee is China’s leading AI startup providing AI total solutions, and its mission has been to empower and upgrade vertical industries with AI. At Aibee, they are working to perfect AI technologies for each industry by building total AI solutions that allow closing the loop among data, algorithms, technologies, and product/service. Aibee applies the most advanced and innovative AI technologies (computer vision, speech recognition, natural language understanding, big data analytics, robotics, etc.) to transform efficiency, productivity and business value of their target vertical industries by gaining deep understanding of pain points, needs and objectives of their clients as well as by creating new business opportunities."
Aclima,https://www.crunchbase.com/organization/aclima,"Location Based Services, Sensor, Software","Aclima delivers hyperlocal air quality data and insights, at block-by-block resolution. We combine leading-edge sensor technology, climate science, enterprise software and machine learning to generate high-resolution maps of emissions across pollutants  –– from CO2 and methane to particulate matter. Translating real-time data into environmental intelligence, Aclima transforms how we understand and manage our communities, cities, and industries to improve human and planetary health. Aclima is a 2017 World Economic Forum Technology Pioneer, as well as one of the prestigious 2018 Global Cleantech 100 companies. Aclima is headquartered in San Francisco, CA. For more information, visit www.aclima.io."
Atlan,https://www.crunchbase.com/organization/atlan-239d,"Big Data, Data Integration, Database, Information Technology, Software","Atlan is a data democratization company that helps data teams collaborate frictionlessly on data projects. It is creating a home for data teams—allowing them to truly democratize both internal and external data, while automating repetitive tasks. The company caters to more than 200 teams in over 50 countries. Some of their customers include Unilever, Milkbasket, Barbeque Nation, WPP and GroupM, Mahindra Group, and InMobi among other startups and Fortune 500 companies. Their investors and advisors include Ratan Tata, Rajan Anandan, 500 Startups, WaterBridge Ventures, Google Launchpad (class of 2018) and Unreasonable Future (class of 2019). Atlan is headquartered in Singapore, with teams in New Delhi and Bengaluru (India), San Francisco (US) and Nairobi (Kenya)."
Adarga,https://www.crunchbase.com/organization/adarga,"Analytics, Artificial Intelligence, Business Intelligence, Machine Learning, Natural Language Processing, SaaS, Software, Text Analytics","Our technology automates time-intensive tasks, learning by reading and understanding complex data at speeds humans are unable to achieve. Adarga’s mission is to enable you to make better decisions today, to work faster and smarter, and to unlock the hidden value in your data. We leverage the latest advances in machine learning and scalable engineering within a flexible plug-and-play microservices architecture.  Our products, adarga_engine™ and adarga_bench™, allow you to adopt advanced end-to-end AI analytics. Adarga's technology is focused on specific verticals to deliver highly-functional sector-leading performance - simply, securely, at scale and without large upfront investments."
Apollo.io,https://www.crunchbase.com/organization/zenprospect,"Lead Generation, Sales, Sales Automation, Software","Apollo is the unified engagement acceleration platform that gives reps the ability to dramatically increase their number of quality conversations and opportunities. Reps are empowered do more than just conduct outreach, they learn who to target, how to reach out, and what to say at speed and scale. We help drive growth and success by providing the means for teams to discover and utilize their organization’s unique best practices.  By working in a unified platform, reps and managers alike save hours of time each day, strategy changes are instantly scaled across the whole team, and managers can finally dig into data at each step of their pipeline to continually find new ways to improve.  Teams get access to our database of 200+ million contacts with a built-in fully customizable Scoring Engine, full sales engagement stack, our native Account Playbook builder, and the industry’s only custom deep analytics suite. Managers create and enforce order and process with the industry’s most advanced Rules Engine. Apollo is the foundation for your entire end-to-end sales strategy. Join teams like Autodesk, Copper (ProsperWorks), and Snowflake to experience the future of sales today. Ready to join our crew? Email sales@apollo.io. "
ADARA,https://www.crunchbase.com/organization/adara-media,"Advertising, Internet, Travel","ADARA leverages global travel data to drive future business performance. ADARA’s Magellan platform transforms loyalty, search and booking data into actionable knowledge that allows companies to better understand, reach and engage customers. The platform is fueled by first party data from more than 90 global travel brands, including United, Delta, Hyatt, Marriott and Hertz. Founded in 2009, the company has 15 offices across the U.S., Europe and Asia, including its headquarters in Mountain View, Calif. For more information, visit ADARA.com or follow us on Twitter @adaraglobal."
Ambra Health,https://www.crunchbase.com/organization/dicom-grid,"Cloud Infrastructure, Health Care, Medical, SaaS","Ambra Health is a medical data and image management SaaS company. Intuitive, flexible, scalable and highly interoperable, the Ambra cloud platform is designed to serve as the backbone of imaging innovation and progress for healthcare providers. It empowers some of the largest health systems such as Memorial Hermann, Stanford Children’s Health and New England Baptist Hospital as well as radiology practices, subspecialty practices and clinical research organizations to dramatically improve imaging and collaborative care workflows. As expert partners, we listen to our customers, understand their needs, and apply our extensive knowledge to deliver innovative medical image management solutions for the future of healthcare, now."
AeroSafe Global,https://www.crunchbase.com/organization/american-aerogel,"Biopharma, Manufacturing, Pharmaceutical","American Aerogel Corporation develops and produces aerogels and related materials for temperature-sensitive shipping needs in the United States. Its products are used in various thermal insulation applications to transport biomedical, pharmaceutical, and other temperature-sensitive products. The company serves biopharmaceutical companies. American Aerogel Corporation was formerly known as General Ideas, Inc. and changed its name to American Aerogel Corporation in January 2001. The company was founded in 1995 and is based in Rochester, New York."
AB Tasty,https://www.crunchbase.com/organization/ab-tasty,"Advertising, Analytics, E-Commerce, Test and Measurement",AB Tasty is a SaaS-based application that enables e-marketers to optimize their website and conversion rate without technical knowledge. It offers an easy-to-use and feature-packed solution to run all kinds of A/B and multivariate tests with minimal technical integration.
Aria Systems,https://www.crunchbase.com/organization/aria-systems,"Billing, Cloud Computing, Enterprise Software, SaaS, Subscription Service","Proven by the world's most demanding enterprises, including AAA NCNU, Constant Contact, Falck, Hootsuite, Pitney Bowes, Audi, Adobe, Telekom Denmark, Philips, Roku, and VMware, Aria helps enterprises grow their recurring revenue businesses. Aria helps clients take advantage of each customer-driven event − known as revenue moments − with agile billing, active customer engagement, and the rapid development of new products and services. With Aria's end-to-end active monetization platform, global brands can get to market faster with a wider variety of products and services, while maximizing customer satisfaction, retention, and lifetime value."
Alere,https://www.crunchbase.com/organization/alere,"Health Care, Health Diagnostics, Medical, Therapeutics","Alere Inc., formerly Inverness Medical Innovations, Inc., provides diagnostics and health management solutions. The Company's products and services are focused on infectious disease, cardiology, oncology, drugs of abuse and women's health. Its brands range from over-the-counter tests to lab-based diagnostics to integrated home monitoring solutions. The Company's brands include Acceava Mono cassette, Alere Home Monitoring, AtheNA Multi-Lyte Test System, BinaxNOW, Cholestech LDX, Clearview iFOB Complete, Determine HBsAg, DoubleCheckGold and ImmunoComb. The Company has operations in North America, Europe and Middle East, Asia Pacific, and Latin America and Africa."
Aktana,https://www.crunchbase.com/organization/aktana,"Analytics, Artificial Intelligence, Life Science, Machine Learning","Aktana helps life science companies get the most out of artificial intelligence (AI) for commercializing their products. The company’s proprietary platform harnesses machine learning algorithms to enable marketing and sales teams to optimize their engagement with prescribing physicians. Aktana supports more than 100 brands and more than half the top 20 pharmaceutical companies worldwide to increase revenue, capitalize on data investments, and drive channel productivity and results. The company’s focus on the life sciences market allows Aktana to understand and incorporate unique market dynamics more deeply than the major AI players. Headquartered in San Francisco, Aktana also has offices in New York, Philadelphia, London, Barcelona, Tokyo, Osaka, and Shanghai."
AImotive,https://www.crunchbase.com/organization/aImotive,"Artificial Intelligence, Automotive, Cloud Computing, Computer Vision, Data Visualization, Hardware, Information Technology, Robotics, Software","Founded by László Kishonti in 2015, AImotive is the leading global solution provider of AI powered self-driving technology. Using cameras as primary sensors their solutions mimic the visual capabilities of human drivers. This approach results in technology that can readily scale, and helps make autonomous driving a reality around the world. Their  passionate team with over 220 members is at work worldwide. They have designed aiDrive, their autonomous driving software suite, to accommodate different driving cultures and climates, because they approach the driving experience from a global perspective. Alongside their testing locations they use, aiSim, their photo-realistic simulator, to recreate diverse real-life scenarios to develop their systems. To handle the complex process behind self-driving technology they have created aiWare, a unique neural network accelerator for computer vision. They believe this is how to make their vision of a safe and accessible autonomous future a reality."
Athos,https://www.crunchbase.com/organization/athos,"Fashion, Fitness, Health Care, Sports, Wearables","The Athos mission is to help athletes train more effectively and reach their performance goals faster. Athos does this by bringing together the most relevant data and exercise science to deliver simple, actionable insights that allow coaches and athletes to get the most out of their training."
AUTO1 Group,https://www.crunchbase.com/organization/auto1-group,"Automotive, Internet, Marketplace","AUTO1 Group is Europe’s leading used-car marketplace with its own certified and diversified inventory.  As a brand independent automotive platform, AUTO1 is aimed primarily at the used car trade. By connecting buyers and sellers through technology the company enables consumers as well as dealers to trade seamlessly. Founded in 2012, the company is empowering its consumers and dealers with liquidity, more business and first class supply.  Sourcing from all channels including OEMs and dealerships. AUTO1 Group owns business units like AUTO1.com, Autohero.com or wirkaufendeinauto.de. AUTO1 Group operates in almost 30 countries and continues to expand rapidly. "
Audentes Therapeutics,https://www.crunchbase.com/organization/audentes-therapeutics,"Biotechnology, Genetics, Health Care, Health Diagnostics","Audentes Therapeutics is a biotechnology company committed to the development and commercialization of innovative new gene therapy treatments for people with serious rare diseases. We are a focused, experienced and passionate team driven by the goal of improving the lives of patients."
Avanan,https://www.crunchbase.com/organization/avanan,"Cloud Security, Internet, SaaS, Security","Avanan operates a cloud-based platform to provide security solutions for public, SaaS-based applications. The product is designed for organizations that need to monitor and protect their employees’ use of the cloud. Avanan was founded in 2014 and is based in New York, United States."
Artemis,https://www.crunchbase.com/organization/agrilyst-inc,"Agriculture, AgTech, Artificial Intelligence, Farming, GreenTech, SaaS","Artemis operates an intelligence platform for indoor farms. It specializes in indoor farming software solutions.  Artemis help indoor farm operators use data to make more profitable production decisions. It tracks and analyzes all farm data in one place, enabling growers to optimize plant performance and reduce operating expenses. Allison Kopf and Jason Camp founded Agrilyst in 2015 that later became Artemis. It has its headquarters in Brooklyn in New York City."
Aquicore,https://www.crunchbase.com/organization/aquicore,"Commercial Real Estate, Energy Efficiency, Energy Management, Enterprise Software, Internet of Things, SaaS, Software","Aquicore is revolutionizing “Asset Operations” for Commercial Real Estate owners & operators. In over 700 buildings and 150M SF, Aquicore is the backbone to IoT data enabled real estate decisions, paving the way for an autonomous building future. Aquicore’s cloud-based software offers an “Asset Operations” platform for the CRE sector. The SaaS platform provides seamless real-time building intelligence, analytics and process automation solutions that drive higher NOIs and favorable cap-rates by reducing building operating expenses and streamlining daily building management routines. The company achieves its real-time and actionable insights by introducing a patented sensor-network that is scalable and rapidly deployable to automatically read, compile and synthesize data from utility meters, submeters, building equipment, and other environmental conditions."
Advizr,https://www.crunchbase.com/organization/advizr,"Apps, Financial Services, FinTech, SaaS, Software","Advizr is dedicated to creating financial planning software that enables profitable financial planning for all of its customers. It has automated advice delivery that allows more advisors to participate in holistic advice and more clients to receive financial plans regardless of their net worth. Advizr was co-founded by Hussain Zaidi, Mustapha Baassiri, and Jorge Alvarez in 2013 and is based in New York."
Augmedix,https://www.crunchbase.com/organization/augmedix,"Augmented Reality, Health Care, Hospital, Medical",Augmedix is  a service powered by Google Glass which  reclaims the hours physicians spend on the computer entering or retrieving data from electronic health records and refocuses them on what matters most: patient care.
Anchor,https://www.crunchbase.com/organization/anchor-fm,"Apps, Audio, Broadcasting, Internet, Podcast","Anchor is the easiest way to make a podcast. Record or upload high-quality audio, host unlimited episodes, and distribute everywhere with just one click. Whether you’re a beginner or a seasoned pro, there’s never been a better way to podcast."
